Season,G,Game_Date,Game_Day,Type,Where,Opponent_School,Opponent_Ranking,Conf,Result,Tm,Opp,OT,W,L,Streak,Arena
1950,1,1949-12-03,Sat,REG,A,Hanes Hosiery,NA,NA,L,52,53,NA,0,1,L 1,NA
1950,2,1949-12-06,Tue,REG,H,Hampden-Sydney,NA,NA,W,74,59,NA,1,1,W 1,Cameron Indoor Stadium
1950,3,1949-12-08,Thu,REG,A,McCrary Hosiery,NA,NA,L,54,60,NA,1,2,L 1,McCrary Gym
1950,4,1949-12-10,Sat,REG,A,Virginia,NA,Ind,W,82,61,NA,2,2,W 1,Municipal Auditorium
1950,5,1949-12-15,Thu,REG,A,Davidson,NA,Southern,W,66,49,NA,3,2,W 2,Johnston Gym
1950,6,1949-12-17,Sat,REG,A,Washington & Lee,NA,Southern,W,81,67,OT,4,2,W 3,Lynchburg City Armory
1950,7,1949-12-20,Tue,REG,A,South Carolina,NA,Southern,L,44,54,NA,4,3,L 1,Carolina Fieldhouse
1950,8,1949-12-28,Wed,REG,H,Penn State,NA,Ind,L,48,51,NA,4,4,L 2,Reynolds Coliseum
1950,9,1949-12-29,Thu,REG,N,North Carolina,NA,Southern,L,52,59,NA,4,5,L 3,Reynolds Coliseum
1950,10,1949-12-30,Fri,REG,N,Wake Forest,NA,Southern,W,54,52,NA,5,5,W 1,Reynolds Coliseum
1950,11,1950-01-04,Wed,REG,H,Maryland,NA,Southern,W,58,46,NA,6,5,W 2,Cameron Indoor Stadium
1950,12,1950-01-07,Sat,REG,H,North Carolina State,7,Southern,W,58,55,NA,7,5,W 3,Cameron Indoor Stadium
1950,13,1950-01-12,Thu,REG,A,New York University,NA,Metro NY,L,64,80,NA,7,6,L 1,Madison Square Garden (III)
1950,14,1950-01-14,Sat,REG,A,Temple,NA,Ind,L,49,59,NA,7,7,L 2,Convention Hall
1950,15,1950-01-17,Tue,REG,H,South Carolina,NA,Southern,W,79,60,NA,8,7,W 1,Cameron Indoor Stadium
1950,16,1950-01-27,Fri,REG,H,Davidson,NA,Southern,W,69,59,NA,9,7,W 2,Cameron Indoor Stadium
1950,17,1950-01-28,Sat,REG,H,Wake Forest,NA,Southern,W,65,55,NA,10,7,W 3,Cameron Indoor Stadium
1950,18,1950-02-04,Sat,REG,H,Navy,NA,Ind,W,68,53,NA,11,7,W 4,Cameron Indoor Stadium
1950,19,1950-02-07,Tue,REG,H,Citadel,NA,Southern,W,65,39,NA,12,7,W 5,Cameron Indoor Stadium
1950,20,1950-02-10,Fri,REG,A,Maryland,NA,Southern,L,57,67,NA,12,8,L 1,Ritchie Gymnasium
1950,21,1950-02-11,Sat,REG,A,George Washington,NA,Southern,L,55,62,2OT,12,9,L 2,Uline Arena
1950,22,1950-02-14,Tue,REG,A,North Carolina State,8,Southern,L,50,68,NA,12,10,L 3,Reynolds Coliseum
1950,23,1950-02-17,Fri,REG,A,North Carolina,NA,Southern,L,55,58,NA,12,11,L 4,Woollen Gymnasium
1950,24,1950-02-18,Sat,REG,H,George Washington,NA,Southern,W,55,52,NA,13,11,W 1,Cameron Indoor Stadium
1950,25,1950-02-21,Tue,REG,A,Wake Forest,NA,Southern,L,54,72,NA,13,12,L 1,Gore Gymnasium
1950,26,1950-02-24,Fri,REG,H,North Carolina,NA,Southern,L,46,64,NA,13,13,L 2,Cameron Indoor Stadium
1950,27,1950-03-02,Thu,CTOURN,H,South Carolina,NA,Southern,W,53,41,NA,14,13,W 1,Cameron Indoor Stadium
1950,28,1950-03-03,Fri,CTOURN,H,William & Mary,NA,Southern,W,60,50,NA,15,13,W 2,Cameron Indoor Stadium
1950,29,1950-03-04,Sat,CTOURN,H,North Carolina State,8,Southern,L,47,67,NA,15,14,L 1,Cameron Indoor Stadium
1950,30,1950-03-08,Wed,REG,A,Pennsylvania,NA,Ivy,L,50,68,NA,15,15,L 2,The Palestra
1951,1,1950-12-02,Sat,REG,A,Hanes Hosiery,NA,NA,W,76,71,NA,1,0,W 1,NA
1951,2,1950-12-05,Tue,REG,A,McCrary Hosiery,NA,NA,W,72,60,NA,2,0,W 2,McCrary Gym
1951,3,1950-12-09,Sat,REG,A,Virginia,NA,Ind,W,77,57,NA,3,0,W 3,Municipal Auditorium
1951,4,1950-12-15,Fri,REG,A,Virginia Military Institute,NA,Southern,W,86,66,NA,4,0,W 4,VMI Field House
1951,5,1950-12-16,Sat,REG,A,Washington & Lee,NA,Southern,W,97,69,NA,5,0,W 5,Lynchburg City Armory
1951,6,1950-12-22,Fri,REG,A,George Washington,NA,Southern,W,70,67,NA,6,0,W 6,Uline Arena
1951,7,1950-12-23,Sat,REG,A,Bradley,2,MVC,L,58,93,NA,6,1,L 1,Robertson Memorial Field House
1951,8,1950-12-28,Thu,REG,H,Colgate,NA,Ind,L,69,84,NA,6,2,L 2,Reynolds Coliseum
1951,9,1950-12-29,Fri,REG,N,North Carolina,NA,Southern,W,71,63,NA,7,2,W 1,Reynolds Coliseum
1951,10,1950-12-30,Sat,REG,H,Tulane,NA,SEC,W,74,72,NA,8,2,W 2,Reynolds Coliseum
1951,11,1951-01-01,Mon,REG,A,Canisius,NA,WNY3,L,57,69,NA,8,3,L 1,Buffalo Memorial Auditorium
1951,12,1951-01-03,Wed,REG,A,Pennsylvania,NA,Ivy,L,76,85,NA,8,4,L 2,The Palestra
1951,13,1951-01-06,Sat,REG,H,North Carolina State,7,Southern,L,71,77,OT,8,5,L 3,Cameron Indoor Stadium
1951,14,1951-01-11,Thu,REG,H,South Carolina,NA,Southern,W,60,58,NA,9,5,W 1,Cameron Indoor Stadium
1951,15,1951-01-13,Sat,REG,H,West Virginia,NA,Southern,W,77,73,NA,10,5,W 2,Cameron Indoor Stadium
1951,16,1951-01-15,Mon,REG,A,William & Mary,NA,Southern,L,57,74,NA,10,6,L 1,Blow Gym
1951,17,1951-01-27,Sat,REG,H,Wake Forest,NA,Southern,L,56,65,NA,10,7,L 2,Cameron Indoor Stadium
1951,18,1951-01-29,Mon,REG,H,Davidson,NA,Southern,W,90,68,NA,11,7,W 1,Cameron Indoor Stadium
1951,19,1951-01-30,Tue,REG,A,South Carolina,NA,Southern,L,62,82,NA,11,8,L 1,Carolina Fieldhouse
1951,20,1951-02-02,Fri,REG,A,North Carolina,NA,Southern,L,68,71,NA,11,9,L 2,Woollen Gymnasium
1951,21,1951-02-03,Sat,REG,H,New York University,NA,Metro NY,L,73,79,NA,11,10,L 3,Cameron Indoor Stadium
1951,22,1951-02-05,Mon,REG,H,George Washington,NA,Southern,W,85,70,NA,12,10,W 1,Cameron Indoor Stadium
