Season,G,Game_Date,Game_Day,Type,Where,Opponent_School,Opponent_Ranking,Conf,Result,Tm,Opp,OT,W,L,Streak,Arena
1950,1,12/3/1949,Sat,REG,A,Richmond,NA,Southern,W,58,50,NA,1,0,W 1,Blues City Armory
1950,2,12/5/1949,Mon,REG,A,Virginia Tech,NA,Southern,L,48,62,NA,1,1,L 1,War Memorial Hall
1950,3,12/9/1949,Fri,REG,H,George Washington,NA,Southern,L,44,54,NA,1,2,L 2,Woollen Gymnasium
1950,4,12/28/1949,Wed,REG,N,West Virginia,NA,Ind,L,50,58,NA,1,3,L 3,Reynolds Coliseum
1950,5,12/29/1949,Thu,REG,N,Duke,NA,Southern,W,59,52,NA,2,3,W 1,Reynolds Coliseum
1950,6,12/30/1949,Fri,REG,N,Rhode Island,NA,Yankee,L,60,65,NA,2,4,L 1,NA
1950,7,1/2/1950,Mon,REG,H,Maryland,NA,Southern,W,55,53,NA,3,4,W 1,Woollen Gymnasium
1950,8,1/7/1950,Sat,REG,A,Davidson,NA,Southern,W,63,53,NA,4,4,W 2,Johnston Gym
1950,9,1/9/1950,Mon,REG,A,Kentucky,2,SEC,L,44,83,NA,4,5,L 1,Alumni Gymnasium
1950,10,1/13/1950,Fri,REG,A,Miami,NA,Ind,W,55,53,NA,5,5,W 1,NA
1950,11,1/14/1950,Sat,REG,A,Miami,NA,Ind,W,65,51,NA,6,5,W 2,NA
1950,12,1/16/1950,Mon,REG,A,Wake Forest,NA,Southern,W,54,50,NA,7,5,W 3,Gore Gymnasium
1950,13,1/18/1950,Wed,REG,H,South Carolina,NA,Southern,W,64,42,NA,8,5,W 4,Woollen Gymnasium
1950,14,1/21/1950,Sat,REG,H,North Carolina State,12,Southern,L,57,61,NA,8,6,L 1,Woollen Gymnasium
1950,15,1/27/1950,Fri,REG,H,Virginia Tech,NA,Southern,W,66,53,NA,9,6,W 1,Woollen Gymnasium
1950,16,1/28/1950,Sat,REG,H,Davidson,NA,Southern,W,67,54,NA,10,6,W 2,Woollen Gymnasium
1950,17,1/30/1950,Mon,REG,H,Citadel,NA,Southern,W,77,39,NA,11,6,W 3,Woollen Gymnasium
1950,18,2/3/1950,Fri,REG,A,Maryland,NA,Southern,W,69,56,NA,12,6,W 4,Ritchie Gymnasium
1950,19,2/4/1950,Sat,REG,A,George Washington,NA,Southern,L,41,56,NA,12,7,L 1,Uline Arena
1950,20,2/7/1950,Tue,REG,H,Wake Forest,NA,Southern,L,54,57,NA,12,8,L 2,Woollen Gymnasium
1950,21,2/10/1950,Fri,REG,A,Furman,NA,Southern,W,59,53,NA,13,8,W 1,Textile Hall
1950,22,2/13/1950,Mon,REG,A,William & Mary,NA,Southern,W,52,46,NA,14,8,W 2,Blow Gym
1950,23,2/17/1950,Fri,REG,H,Duke,NA,Southern,W,58,55,NA,15,8,W 3,Woollen Gymnasium
1950,24,2/21/1950,Tue,REG,A,North Carolina State,9,Southern,L,44,70,NA,15,9,L 1,Reynolds Coliseum
1950,25,2/24/1950,Fri,REG,A,Duke,NA,Southern,W,64,46,NA,16,9,W 1,Cameron Indoor Stadium
1950,26,3/2/1950,Thu,CTOURN,N,William & Mary,NA,Southern,L,43,50,NA,16,10,L 1,Cameron Indoor Stadium
1951,1,12/7/1950,Thu,REG,H,Richmond,NA,Southern,W,69,46,NA,1,0,W 1,Woollen Gymnasium
1951,2,12/9/1950,Sat,REG,A,Davidson,NA,Southern,W,72,69,NA,2,0,W 2,Johnston Gym
1951,3,12/22/1950,Fri,REG,N,Xavier,NA,Ind,L,58,92,NA,2,1,L 1,NA
1951,4,12/28/1950,Thu,REG,N,Navy,NA,Ind,L,49,58,NA,2,2,L 2,NA
1951,5,12/29/1950,Fri,REG,N,Duke,NA,Southern,L,63,71,NA,2,3,L 3,Reynolds Coliseum
1951,6,12/30/1950,Sat,REG,N,Rhode Island,NA,Yankee,L,69,93,NA,2,4,L 4,NA
1951,7,1/2/1951,Tue,REG,H,Maryland,NA,Southern,L,59,67,NA,2,5,L 5,Woollen Gymnasium
1951,8,1/4/1951,Thu,REG,A,New York University,NA,Metro NY,L,60,66,NA,2,6,L 6,Madison Square Garden (III)
1951,9,1/6/1951,Sat,REG,A,Temple,NA,Ind,L,67,70,NA,2,7,L 7,Convention Hall
1951,10,1/11/1951,Thu,REG,A,Wake Forest,NA,Southern,W,65,56,NA,3,7,W 1,Gore Gymnasium
1951,11,1/13/1951,Sat,REG,H,Davidson,NA,Southern,W,56,53,NA,4,7,W 2,Woollen Gymnasium
1951,12,1/15/1951,Mon,REG,H,West Virginia,NA,Southern,L,49,62,NA,4,8,L 1,Woollen Gymnasium
1951,13,1/19/1951,Fri,REG,A,George Washington,NA,Southern,L,71,76,NA,4,9,L 2,Uline Arena
1951,14,1/20/1951,Sat,REG,A,Maryland,NA,Southern,L,55,56,NA,4,10,L 3,Ritchie Gymnasium
