Season,Game_Date,Game_Day,Type,Where,Opponent_School,Result,Tm,Opp,OT
1950,1949-12-03,Sat,REG,A,Hanes Hosiery,L,52,53,NA
1950,1949-12-06,Tue,REG,H,Hampden-Sydney,W,74,59,NA
1950,1949-12-08,Thu,REG,A,McCrary Hosiery,L,54,60,NA
1950,1949-12-10,Sat,REG,A,Virginia,W,82,61,NA
1950,1949-12-15,Thu,REG,A,Davidson,W,66,49,NA
1950,1949-12-17,Sat,REG,A,Washington & Lee,W,81,67,OT
1950,1949-12-20,Tue,REG,A,South Carolina,L,44,54,NA
1950,1949-12-28,Wed,REG,H,Penn State,L,48,51,NA
1950,1949-12-29,Thu,REG,N,North Carolina,L,52,59,NA
1950,1949-12-30,Fri,REG,N,Wake Forest,W,54,52,NA
1950,1950-01-04,Wed,REG,H,Maryland,W,58,46,NA
1950,1950-01-07,Sat,REG,H,North Carolina State,W,58,55,NA
1950,1950-01-12,Thu,REG,A,New York University,L,64,80,NA
1950,1950-01-14,Sat,REG,A,Temple,L,49,59,NA
1950,1950-01-17,Tue,REG,H,South Carolina,W,79,60,NA
1950,1950-01-27,Fri,REG,H,Davidson,W,69,59,NA
1950,1950-01-28,Sat,REG,H,Wake Forest,W,65,55,NA
1950,1950-02-04,Sat,REG,H,Navy,W,68,53,NA
1950,1950-02-07,Tue,REG,H,Citadel,W,65,39,NA
1950,1950-02-10,Fri,REG,A,Maryland,L,57,67,NA
1950,1950-02-11,Sat,REG,A,George Washington,L,55,62,2OT
1950,1950-02-14,Tue,REG,A,North Carolina State,L,50,68,NA
1950,1950-02-17,Fri,REG,A,North Carolina,L,55,58,NA
1950,1950-02-18,Sat,REG,H,George Washington,W,55,52,NA
1950,1950-02-21,Tue,REG,A,Wake Forest,L,54,72,NA
1950,1950-02-24,Fri,REG,H,North Carolina,L,46,64,NA
1950,1950-03-02,Thu,CTOURN,H,South Carolina,W,53,41,NA
1950,1950-03-03,Fri,CTOURN,H,William & Mary,W,60,50,NA
1950,1950-03-04,Sat,CTOURN,H,North Carolina State,L,47,67,NA
1950,1950-03-08,Wed,REG,A,Pennsylvania,L,50,68,NA
1951,1950-12-02,Sat,REG,A,Hanes Hosiery,W,76,71,NA
1951,1950-12-05,Tue,REG,A,McCrary Hosiery,W,72,60,NA
1951,1950-12-09,Sat,REG,A,Virginia,W,77,57,NA
1951,1950-12-15,Fri,REG,A,Virginia Military Institute,W,86,66,NA
1951,1950-12-16,Sat,REG,A,Washington & Lee,W,97,69,NA
1951,1950-12-22,Fri,REG,A,George Washington,W,70,67,NA
1951,1950-12-23,Sat,REG,A,Bradley,L,58,93,NA
1951,1950-12-28,Thu,REG,H,Colgate,L,69,84,NA
1951,1950-12-29,Fri,REG,N,North Carolina,W,71,63,NA
1951,1950-12-30,Sat,REG,H,Tulane,W,74,72,NA
1951,1951-01-01,Mon,REG,A,Canisius,L,57,69,NA
1951,1951-01-03,Wed,REG,A,Pennsylvania,L,76,85,NA
1951,1951-01-06,Sat,REG,H,North Carolina State,L,71,77,OT
1951,1951-01-11,Thu,REG,H,South Carolina,W,60,58,NA
1951,1951-01-13,Sat,REG,H,West Virginia,W,77,73,NA
1951,1951-01-15,Mon,REG,A,William & Mary,L,57,74,NA
1951,1951-01-27,Sat,REG,H,Wake Forest,L,56,65,NA
1951,1951-01-29,Mon,REG,H,Davidson,W,90,68,NA
1951,1951-01-30,Tue,REG,A,South Carolina,L,62,82,NA
1951,1951-02-02,Fri,REG,A,North Carolina,L,68,71,NA
1951,1951-02-03,Sat,REG,H,New York University,L,73,79,NA
1951,1951-02-05,Mon,REG,H,George Washington,W,85,70,NA
1951,1951-02-06,Tue,REG,H,William & Mary,W,61,54,NA
1951,1951-02-10,Sat,REG,A,North Carolina State,L,65,75,NA
1951,1951-02-12,Mon,REG,A,Davidson,W,94,73,NA
1951,1951-02-14,Wed,REG,H,Washington & Lee,W,94,68,NA
1951,1951-02-16,Fri,REG,A,Maryland,W,49,40,NA
1951,1951-02-17,Sat,REG,A,Navy,L,60,85,NA
