Season,Game_Date,Game_Day,Type,Where,Opponent_School,Result,Tm,Opp,OT
1950,1949-12-01,Thu,REG,H,Elon,W,57,39,NA
1950,1949-12-03,Sat,REG,A,Richmond,W,58,50,NA
1950,1949-12-05,Mon,REG,A,Virginia Tech,L,48,62,NA
1950,1949-12-07,Wed,REG,A,Lenoir-Rhyne,L,78,79,OT
1950,1949-12-09,Fri,REG,H,George Washington,L,44,54,NA
1950,1949-12-28,Wed,REG,N,West Virginia,L,50,58,NA
1950,1949-12-29,Thu,REG,N,Duke,W,59,52,NA
1950,1949-12-30,Fri,REG,N,Rhode Island,L,60,65,NA
1950,1950-01-02,Mon,REG,H,Maryland,W,55,53,NA
1950,1950-01-05,Thu,REG,A,Hanes Hosiery,L,48,50,NA
1950,1950-01-07,Sat,REG,A,Davidson,W,63,53,NA
1950,1950-01-09,Mon,REG,A,Kentucky,L,44,83,NA
1950,1950-01-13,Fri,REG,A,Miami,W,55,53,NA
1950,1950-01-14,Sat,REG,A,Miami,W,65,51,NA
1950,1950-01-16,Mon,REG,A,Wake Forest,W,54,50,NA
1950,1950-01-18,Wed,REG,H,South Carolina,W,64,42,NA
1950,1950-01-21,Sat,REG,H,North Carolina State,L,57,61,NA
1950,1950-01-27,Fri,REG,H,Virginia Tech,W,66,53,NA
1950,1950-01-28,Sat,REG,H,Davidson,W,67,54,NA
1950,1950-01-30,Mon,REG,H,Citadel,W,77,39,NA
1950,1950-02-03,Fri,REG,A,Maryland,W,69,56,NA
1950,1950-02-04,Sat,REG,A,George Washington,L,41,56,NA
1950,1950-02-07,Tue,REG,H,Wake Forest,L,54,57,NA
1950,1950-02-10,Fri,REG,A,Furman,W,59,53,NA
1950,1950-02-13,Mon,REG,A,William & Mary,W,52,46,NA
1950,1950-02-17,Fri,REG,H,Duke,W,58,55,NA
1950,1950-02-21,Tue,REG,A,North Carolina State,L,44,70,NA
1950,1950-02-24,Fri,REG,A,Duke,W,64,46,NA
1950,1950-03-02,Thu,CTOURN,N,William & Mary,L,43,50,NA
1951,1950-11-29,Wed,REG,A,McCrary Eagles,W,84,57,NA
1951,1950-12-02,Sat,REG,A,Elon,W,57,48,NA
1951,1950-12-05,Tue,REG,A,Hanes Hosiery,W,75,58,NA
1951,1950-12-07,Thu,REG,H,Richmond,W,69,46,NA
1951,1950-12-09,Sat,REG,A,Davidson,W,72,69,NA
1951,1950-12-20,Wed,REG,H,Eastern Kentucky,L,62,85,NA
1951,1950-12-22,Fri,REG,N,Xavier,L,58,92,NA
1951,1950-12-28,Thu,REG,N,Navy,L,49,58,NA
1951,1950-12-29,Fri,REG,N,Duke,L,63,71,NA
1951,1950-12-30,Sat,REG,N,Rhode Island,L,69,93,NA
1951,1951-01-02,Tue,REG,H,Maryland,L,59,67,NA
1951,1951-01-04,Thu,REG,A,New York University,L,60,66,NA
1951,1951-01-06,Sat,REG,A,Temple,L,67,70,NA
1951,1951-01-11,Thu,REG,A,Wake Forest,W,65,56,NA
1951,1951-01-13,Sat,REG,H,Davidson,W,56,53,NA
1951,1951-01-15,Mon,REG,H,West Virginia,L,49,62,NA
1951,1951-01-19,Fri,REG,A,George Washington,L,71,76,NA
1951,1951-01-20,Sat,REG,A,Maryland,L,55,56,NA
